Year,Units,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",Пол,Регионы,Value
2015,процент,i) грамотности в разбивке по полу,,,58.7
2015,процент,i) грамотности в разбивке по полу,мальчики,,54.7
2015,процент,i) грамотности в разбивке по полу,девочки,,63.0
2015,процент,i) грамотности в разбивке по полу,мальчики,Акмолинская,57.0
2015,процент,i) грамотности в разбивке по полу,девочки,Акмолинская,60.0
2015,процент,i) грамотности в разбивке по полу,мальчики,Актюбинская,39.0
2015,процент,i) грамотности в разбивке по полу,девочки,Актюбинская,62.0
2015,процент,i) грамотности в разбивке по полу,мальчики,Алматинская,51.0
2015,процент,i) грамотности в разбивке по полу,девочки,Алматинская,58.0
2015,процент,i) грамотности в разбивке по полу,мальчики,Атырауская,33.0
2015,процент,i) грамотности в разбивке по полу,девочки,Атырауская,51.0
2015,процент,i) грамотности в разбивке по полу,мальчики,Западно-Казахстанская,59.0
2015,процент,i) грамотности в разбивке по полу,девочки,Западно-Казахстанская,66.0
2015,процент,i) грамотности в разбивке по полу,мальчики,Жамбылская,58.0
2015,процент,i) грамотности в разбивке по полу,девочки,Жамбылская,63.0
2015,процент,i) грамотности в разбивке по полу,мальчики,Карагандинская,71.0
2015,процент,i) грамотности в разбивке по полу,девочки,Карагандинская,74.0
2015,процент,i) грамотности в разбивке по полу,мальчики,Костанайская,57.0
2015,процент,i) грамотности в разбивке по полу,девочки,Костанайская,63.0
2015,процент,i) грамотности в разбивке по полу,мальчики,Кызылординская,59.0
2015,процент,i) грамотности в разбивке по полу,девочки,Кызылординская,65.0
2015,процент,i) грамотности в разбивке по полу,мальчики,Мангистауская,45.0
2015,процент,i) грамотности в разбивке по полу,девочки,Мангистауская,45.0
2015,процент,i) грамотности в разбивке по полу,мальчики,Южно-Казахстанская,42.0
2015,процент,i) грамотности в разбивке по полу,девочки,Южно-Казахстанская,48.0
2015,процент,i) грамотности в разбивке по полу,мальчики,Павлодарская,70.0
2015,процент,i) грамотности в разбивке по полу,девочки,Павлодарская,79.0
2015,процент,i) грамотности в разбивке по полу,мальчики,Северо-Казахстанская,57.0
2015,процент,i) грамотности в разбивке по полу,девочки,Северо-Казахстанская,78.0
2015,процент,i) грамотности в разбивке по полу,мальчики,Восточно-Казахстанская,57.0
2015,процент,i) грамотности в разбивке по полу,девочки,Восточно-Казахстанская,63.0
2015,процент,i) грамотности в разбивке по полу,мальчики,г_Нур-Султан,82.0
2015,процент,i) грамотности в разбивке по полу,девочки,г_Нур-Султан,85.0
2015,процент,i) грамотности в разбивке по полу,мальчики,г_Алматы,64.0
2015,процент,i) грамотности в разбивке по полу,девочки,г_Алматы,78.0
2015,процент,"ii) навыков счета, в разбивке по полу (3 КЛАСС) Матeматика",,,99.977
2015,процент,"ii) навыков счета, в разбивке по полу (3 КЛАСС) Матeматика",мальчики,,99.977
2015,процент,"ii) навыков счета, в разбивке по полу (3 КЛАСС) Матeматика",девочки,,99.977
2015,процент,"ii) навыков счета, в разбивке по полу (2 КЛАСС) Математика",,,99.973
2015,процент,"ii) навыков счета, в разбивке по полу (2 КЛАСС) Математика",мальчики,,99.978
2015,процент,"ii) навыков счета, в разбивке по полу (2 КЛАСС) Математика",девочки,,99.968
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",,,96.5
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,,96.5
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,,96.5
2015,процент,навыков счета,,,67.8
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,,68.5
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,,67.2
2015,процент,навыков счета,мальчики,Акмолинская,62.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,Акмолинская,57.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,Актюбинская,59.0
2015,процент,навыков счета,девочки,Актюбинская,65.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,Алматинская,77.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,Алматинская,76.0
2015,процент,навыков счета,мальчики,Атырауская,38.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,Атырауская,51.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,Западно-Казахстанская,80.0
2015,процент,навыков счета,девочки,Западно-Казахстанская,74.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,Жамбылская,79.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,Жамбылская,83.0
2015,процент,навыков счета,мальчики,Карагандинская,75.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,Карагандинская,71.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,Костанайская,57.0
2015,процент,навыков счета,девочки,Костанайская,58.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,Кызылординская,76.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,Кызылординская,77.0
2015,процент,навыков счета,мальчики,Мангистауская,60.0
