Year,Units,Местность,Пол,Регионы,Возраст,Образование,Квинтиль индекса благосостояния,Value
2010,процент,,,,,,,81.6
2010,процент,город,,,,,,856
2010,процент,село,,,,,,780
2010,процент,,мальчики,,,,,804
2010,процент,,девочки,,,,,827
2010,процент,,,Акмолинская,,,,90.5
2010,процент,,,Актюбинская,,,,96.1
2010,процент,,,Алматинская,,,,81.4
2010,процент,,,Атырауская,,,,83.2
2010,процент,,,Западно-Казахстанская,,,,98.6
2010,процент,,,Жамбылская,,,,83.9
2010,процент,,,Карагандинская,,,,75.9
2010,процент,,,Костанайская,,,,83.3
2010,процент,,,Кызылординская,,,,67.2
2010,процент,,,Мангистауская,,,,66.9
2010,процент,,,Южно-Казахстанская,,,,70.1
2010,процент,,,Павлодарская,,,,95.7
2010,процент,,,Северо-Казахстанская,,,,84.3
2010,процент,,,Восточно-Казахстанская,,,,80.6
2010,процент,,,г_Нур-Султан,,,,93.3
2010,процент,,,г_Алматы,,,,97.4
2010,процент,,,,,основное среднее,,77.1
2010,процент,,,,,техническое и профессиональное,,833
2010,процент,,,,,высшее,,853
2010,процент,,,,,,беднейший,711
2010,процент,,,,,,второй,788
2010,процент,,,,,,средний,832
2010,процент,,,,,,четвертый,865
2010,процент,,,,,,богатейший,916
2015,процент,,,,,,,90.8
2015,процент,город,,,,,,90.6
2015,процент,село,,,,,,90.9
2015,процент,,мальчики,,,,,91.1
2015,процент,,девочки,,,,,90.4
2015,процент,,,Акмолинская,,,,98.8
2015,процент,,,Актюбинская,,,,100.0
2015,процент,,,Алматинская,,,,82.4
2015,процент,,,Атырауская,,,,98.5
2015,процент,,,Западно-Казахстанская,,,,100.0
2015,процент,,,Жамбылская,,,,92.0
2015,процент,,,Карагандинская,,,,94.0
2015,процент,,,Костанайская,,,,100.0
2015,процент,,,Кызылординская,,,,69.6
2015,процент,,,Мангистауская,,,,100.0
2015,процент,,,Южно-Казахстанская,,,,87.4
2015,процент,,,Павлодарская,,,,95.4
2015,процент,,,Северо-Казахстанская,,,,94.9
2015,процент,,,Восточно-Казахстанская,,,,96.6
2015,процент,,,г_Нур-Султан,,,,100.0
2015,процент,,,г_Алматы,,,,58.4
2015,,,,,6 лет,,,89.8
2015,процент,,,,7 лет и старше,,,92.1
2015,процент,,,,,основное среднее,,95.5
2015,процент,,,,,общее среднее,,83.2
2015,процент,,,,,техническое и профессиональное,,92.0
2015,процент,,,,,высшее,,94.6
2015,процент,,,,,,беднейший,88.3
2015,процент,,,,,,второй,87.2
2015,процент,,,,,,средний,89.4
2015,процент,,,,,,четвертый,93.5
2015,процент,,,,,,богатейший,96.7
