Year,Units,Вид экономической деятельности,Регионы,Пол,Возраст,Value
2014,процент,,,,,837.0
2015,процент,,,,,880.0
2016,процент,,,,,950.0
2017,процент,,,,,927.0
2018,процент,,,,,958.5151485136366
2018,процент,,Акмолинская,,,705.7338103367453
2018,процент,,Актюбинская,,,749.9403816528461
2018,процент,,Алматинская,,,712.5847361063737
2018,процент,,Атырауская,,,1718.4145975772635
2018,процент,,Западно-Казахстанская,,,1202.4329026593389
2018,процент,,Жамбылская,,,612.5503305092177
2018,процент,,Карагандинская,,,808.4899840439411
2018,процент,,Костанайская,,,685.4316642192142
2018,процент,,Кызылординская,,,719.6827426954272
2018,процент,,Мангистауская,,,1410.596779139893
2018,процент,,Южно-Казахстанская,,,629.7078541847877
2018,процент,,Павлодарская,,,774.1072345250178
2018,процент,,Северо-Казахстанская,,,636.075437253919
2018,процент,,Восточно-Казахстанская,,,740.5936808949231
2018,процент,,г.Нур-Султан,,,1421.594091621348
2018,процент,,г.Алматы,,,1335.178709631454
2018,процент,,,мужчины,,1122.0
2018,процент,,Акмолинская,мужчины,,791.8277715555887
2018,процент,,Актюбинская,мужчины,,850.0106175079311
2018,процент,,Алматинская,мужчины,,813.2004042336812
2018,процент,,Атырауская,мужчины,,2105.485505233839
2018,процент,,Западно-Казахстанская,мужчины,,1588.0131622797517
2018,процент,,Жамбылская,мужчины,,690.396121066768
2018,процент,,Карагандинская,мужчины,,912.6305495036747
2018,процент,,Костанайская,мужчины,,752.2667915280903
2018,процент,,Кызылординская,мужчины,,811.0115265176171
2018,процент,,Мангистауская,мужчины,,1826.7456721226672
2018,процент,,Южно-Казахстанская,мужчины,,686.1706116178742
2018,процент,,Павлодарская,мужчины,,873.4059306387303
2018,процент,,Северо-Казахстанская,мужчины,,682.4451707681433
2018,процент,,Восточно-Казахстанская,мужчины,,827.5748212467798
2018,процент,,г.Нур-Султан,мужчины,,1636.97878273412
2018,процент,,г.Алматы,мужчины,,1438.2097524247042
2018,процент,,,женщины,,784.8041675593731
2018,процент,,Акмолинская,женщины,,601.9764745360224
2018,процент,,Актюбинская,женщины,,638.5053334172768
2018,процент,,Алматинская,женщины,,630.338937140128
2018,процент,,Атырауская,женщины,,1146.1094915230133
2018,процент,,Западно-Казахстанская,женщины,,742.9937060373288
2018,процент,,Жамбылская,женщины,,542.7812571357579
2018,процент,,Карагандинская,женщины,,681.5429931938974
2018,процент,,Костанайская,женщины,,603.9810968252564
2018,процент,,Кызылординская,женщины,,608.8472036092181
2018,процент,,Мангистауская,женщины,,899.0227153419029
2018,процент,,Южно-Казахстанская,женщины,,588.494062050237
2018,процент,,Павлодарская,женщины,,667.4713091753375
2018,процент,,Северо-Казахстанская,женщины,,590.1913122813099
2018,процент,,Восточно-Казахстанская,женщины,,643.9315790313094
2018,процент,,г.Нур-Султан,женщины,,1178.580312035197
2018,процент,,г.Алматы,женщины,,1217.1963310725337
2018,процент,,,,16-24,577.0
2018,процент,,,,25-28,764.0
2018,процент,,,,29-34,961.0
2018,процент,,,,35-44,1102.0
2018,процент,,,,45-54,977.0
2018,процент,,,,55-64,951.0
2018,процент,,,,65 и старше,1159.0
2018,процент,,Акмолинская,,16-24,485.0
2018,процент,,Акмолинская,,25-28,598.0
2018,процент,,Акмолинская,,29-34,739.0
2018,процент,,Акмолинская,,35-44,792.0
2018,процент,,Акмолинская,,45-54,716.0
2018,процент,,Акмолинская,,55-64,670.0
2018,процент,,Акмолинская,,65 и старше,674.0
2018,процент,,Актюбинская,,16-24,478.0
