Year,Units,Местность,Регионы,Value
2010,процент,,,99.4
2010,процент,,Акмолинская,99.7
2010,процент,,Актюбинская,99.7
2010,процент,,Алматинская,99.8
2010,процент,,Атырауская,99.5
2010,процент,,Западно-Казахстанская,99.4
2010,процент,,Жамбылская,99.3
2010,процент,,Карагандинская,99.5
2010,процент,,Костанайская,99.3
2010,процент,,Кызылординская,99.7
2010,процент,,Мангистауская,99.5
2010,процент,,Южно-Казахстанская,98.8
2010,процент,,Павлодарская,99.6
2010,процент,,Северо-Казахстанская,99.5
2010,процент,,Восточно-Казахстанская,99.2
2010,процент,,г.Нур-Султан,99.3
2010,процент,,г.Алматы,99.7
2010,процент,город,,99.8
2010,процент,город,Акмолинская,100.0
2010,процент,город,Актюбинская,100.0
2010,процент,город,Алматинская,100.0
2010,процент,город,Атырауская,100.0
2010,процент,город,Западно-Казахстанская,99.7
2010,процент,город,Жамбылская,99.7
2010,процент,город,Карагандинская,99.8
2010,процент,город,Костанайская,99.6
2010,процент,город,Кызылординская,100.0
2010,процент,город,Мангистауская,99.8
2010,процент,город,Южно-Казахстанская,99.6
2010,процент,город,Павлодарская,99.9
2010,процент,город,Северо-Казахстанская,99.8
2010,процент,город,Восточно-Казахстанская,99.8
2010,процент,город,г.Нур-Султан,99.7
2010,процент,город,г.Алматы,100.0
2010,процент,село,,99.7
2010,процент,село,Акмолинская,99.9
2010,процент,село,Актюбинская,99.9
2010,процент,село,Алматинская,100.0
2010,процент,село,Атырауская,99.7
2010,процент,село,Западно-Казахстанская,99.8
2010,процент,село,Жамбылская,99.6
2010,процент,село,Карагандинская,99.4
2010,процент,село,Костанайская,99.9
2010,процент,село,Кызылординская,99.8
2010,процент,село,Мангистауская,100.0
2010,процент,село,Южно-Казахстанская,99.6
2010,процент,село,Павлодарская,99.9
2010,процент,село,Северо-Казахстанская,99.9
2010,процент,село,Восточно-Казахстанская,99.1
2011,процент,,,99.9
2011,процент,,Акмолинская,99.9
2011,процент,,Актюбинская,100.0
2011,процент,,Алматинская,100.0
2011,процент,,Атырауская,100.0
2011,процент,,Западно-Казахстанская,99.9
2011,процент,,Жамбылская,99.8
2011,процент,,Карагандинская,99.8
2011,процент,,Костанайская,99.9
2011,процент,,Кызылординская,99.9
2011,процент,,Мангистауская,99.8
2011,процент,,Южно-Казахстанская,99.8
2011,процент,,Павлодарская,99.8
2011,процент,,Северо-Казахстанская,99.9
2011,процент,,Восточно-Казахстанская,99.8
2011,процент,,г.Нур-Султан,99.6
2011,процент,,г.Алматы,99.9
2011,процент,город,,99.9
2011,процент,город,Акмолинская,100.0
2011,процент,город,Актюбинская,100.0
2011,процент,город,Алматинская,100.0
2011,процент,город,Атырауская,100.0
2011,процент,город,Западно-Казахстанская,99.9
2011,процент,город,Жамбылская,100.0
2011,процент,город,Карагандинская,99.9
2011,процент,город,Костанайская,99.9
2011,процент,город,Кызылординская,99.9
2011,процент,город,Мангистауская,99.8
2011,процент,город,Южно-Казахстанская,99.6
2011,процент,город,Павлодарская,99.8
2011,процент,город,Северо-Казахстанская,100.0
2011,процент,город,Восточно-Казахстанская,100.0
2011,процент,город,г.Нур-Султан,99.6
2011,процент,город,г.Алматы,99.9
2011,процент,село,,99.8
2011,процент,село,Акмолинская,99.9
2011,процент,село,Актюбинская,99.9
2011,процент,село,Алматинская,100.0
2011,процент,село,Атырауская,100.0
2011,процент,село,Западно-Казахстанская,100.0
2011,процент,село,Жамбылская,99.6
2011,процент,село,Карагандинская,99.1
2011,процент,село,Костанайская,99.9
2011,процент,село,Кызылординская,100.0
2011,процент,село,Мангистауская,99.7
2011,процент,село,Южно-Казахстанская,99.9
2011,процент,село,Павлодарская,99.6
2011,процент,село,Северо-Казахстанская,99.9
2011,процент,село,Восточно-Казахстанская,98.9
2012,процент,,,99.8
2012,процент,,Акмолинская,99.9
2012,процент,,Актюбинская,100.0
2012,процент,,Алматинская,100.0
2012,процент,,Атырауская,99.9
2012,процент,,Западно-Казахстанская,99.8
2012,процент,,Жамбылская,99.9
2012,процент,,Карагандинская,99.9
2012,процент,,Костанайская,99.9
2012,процент,,Кызылординская,99.8
2012,процент,,Мангистауская,99.8
2012,процент,,Южно-Казахстанская,99.7
2012,процент,,Павлодарская,99.8
2012,процент,,Северо-Казахстанская,99.9
2012,процент,,Восточно-Казахстанская,99.8
2012,процент,,г.Нур-Султан,99.6
2012,процент,,г.Алматы,99.8
2012,процент,город,,99.9
2012,процент,город,Акмолинская,100.0
2012,процент,город,Актюбинская,100.0
2012,процент,город,Алматинская,100.0
2012,процент,город,Атырауская,99.9
2012,процент,город,Западно-Казахстанская,99.8
2012,процент,город,Жамбылская,100.0
2012,процент,город,Карагандинская,99.9
2012,процент,город,Костанайская,100.0
2012,процент,город,Кызылординская,99.9
2012,процент,город,Мангистауская,99.8
2012,процент,город,Южно-Казахстанская,100.0
2012,процент,город,Павлодарская,99.9
2012,процент,город,Северо-Казахстанская,99.9
2012,процент,город,Восточно-Казахстанская,99.8
2012,процент,город,г.Нур-Султан,99.6
2012,процент,село,,99.5
2012,процент,село,Акмолинская,99.9
2012,процент,село,Актюбинская,99.9
2012,процент,село,Алматинская,100.0
2012,процент,село,Атырауская,99.7
2012,процент,село,Западно-Казахстанская,99.7
2012,процент,село,Жамбылская,99.7
2012,процент,село,Карагандинская,99.5
2012,процент,село,Костанайская,99.8
2012,процент,село,Кызылординская,99.7
2012,процент,село,Мангистауская,99.8
2012,процент,село,Южно-Казахстанская,99.1
2012,процент,село,Павлодарская,99.1
2012,процент,село,Северо-Казахстанская,99.9
2012,процент,село,Восточно-Казахстанская,99.4
2013,процент,,,99.8
2013,процент,,Акмолинская,99.9
