Value,kk,en,Number of instances
,,,1345
высшее,жоғары,Higher education,31
начальное,бастауыш,elementary,26
начальное и ниже,бастапқы және төменгі,"Elementary, K and Pre-K education",27
начальное образование,бастапқы білім,Elementary education,1
начальное/не законченное среднее,бастауыш/толық емес орта,Elementary education/ High education (incomplete),2
начальное/незаконченное среднее,начальное/незаконченное среднее,начальное/незаконченное среднее,1
не указавшие,көрсетілмеген,not reported,27
невозможно определить,анықтау мүмкін емес,undetermined,1
незаконченное высшее,толық емес жоғары,Incomplete higher education,27
неполное среднее,толық емес орта,High Education (Incomplete),27
общее среднее,жалпы орта,High Education (General),4
общее среднее образование,жалпы орта білім,High education (general),1
основное среднее,негізгі орта,basic secondary (middle-school),30
основное среднее образование,негізгі орта білім,High education (base),1
пропуск/НЗ,жауап бермеген,don’t answered,5
среднее,орта,secondary (high school),26
среднее образование,орта білім,Secondary Education (Middle School),1
среднее общее,орташа жалпы,High Education (General),27
среднее специальное,орта кәсіби,High Education (Community College type),27
техническое и профессиональное,техникалық және кәсіби,Community College and Vocational type of Education,4
